Company_Name,Year,Total_Assets,Total_Debt,Total_Equity,Revenue,Operating_Income(added),Net_Income(added),Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER
현대글로비스,2022,11586104723590.0,5729632008872.0,5856472714718.0,21528979385563.0,1595700562384.0,1209437645735.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,31729.0,5.15
한화에어로스페이스,2017,3793914511824.0,1753295064997.0,2040619446827.0,1913924765645.0,-55726468477.0,-21470604726.0,0.0,0.0,0.0,P,L,L,30.79,14.53,19.0,-915.0,-38.85
한화에어로스페이스,2018,3881087002288.0,1912114462283.0,1968972540005.0,1065834898271.0,-91025893531.0,-29820419983.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,L_Contd,L_Contd,26.61,14.98,18.97,619.0,52.5
한화에어로스페이스,2019,4357480780305.0,2379128583752.0,1978352196553.0,1190922914294.0,-64196096114.0,27746258654.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,L_Contd,P_Turned,21.54,7.1,8.63,2558.0,13.7
한화에어로스페이스,2020,4641446967860.0,2645824933197.0,1995622034663.0,1059925450827.0,-7325848594.0,28407068641.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,L_Contd,P_Contd,25.28,6.8,8.52,2390.0,11.92
한화에어로스페이스,2021,5140204462835.0,3049354955534.0,2090849507301.0,1224759749996.0,-17754959161.0,119344310761.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,L_Contd,P_Contd,29.98,12.33,16.03,4989.0,9.62
한화에어로스페이스,2022,8689560916441.0,6035172409790.0,2654388506651.0,1956745411297.0,147254159179.0,306700407969.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Turned,P_Contd,24.19,9.77,12.14,3964.0,18.57
SK바이오팜,2017,,,,,,,,,,,,,,,,,
SK바이오팜,2018,,,,,,,,,,,,,,,,,
SK바이오팜,2019,,,,,,,,,,,,,,,,,
SK바이오팜,2020,,,,,,,,,,,,,,,,,
SK바이오팜,2021,,,,,,,,,,,,,,,,,
SK바이오팜,2022,,,,,,,,,,,,,,,,,
삼성중공업,2017,13249440814716.0,7581585893692.0,5667854921024.0,7396888950023.0,-492369917719.0,-337606491056.0,0.0,0.0,0.0,P,L,L,30.79,14.53,19.0,-930.0,-6.57
삼성중공업,2018,13669099019540.0,7104047176847.0,6565051842693.0,4819075729657.0,-463796661218.0,-436189286783.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,L_Contd,L_Contd,26.61,14.98,18.97,-729.0,-9.6
삼성중공업,2019,13259469293532.0,8115538850404.0,5143930443128.0,7098805561786.0,-650083948705.0,-1351396855518.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,L_Contd,L_Contd,21.54,7.1,8.63,-2170.0,-3.16
삼성중공업,2020,12680358683476.0,8993198578488.0,3687160104988.0,6825532312130.0,-1012035545241.0,-1428045414646.0,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,L_Contd,L_Contd,25.28,6.8,8.52,-2454.0,-2.71
삼성중공업,2021,11892137566148.0,7669432606208.0,4222704959940.0,6542631445460.0,-1192048152877.0,-1270864409237.0,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,L_Contd,L_Contd,29.98,12.33,16.03,-2174.0,-2.61
삼성중공업,2022,14739373717623.0,11186551196993.0,3552822520630.0,5856207475304.0,-915101596590.0,-779885379958.0,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,L_Contd,L_Contd,24.19,9.77,12.14,-725.0,-7.05
카카오페이,2017,,,,,,,,,,,,,,,,,
카카오페이,2018,,,,,,,,,,,,,,,,,
카카오페이,2019,,,,,,,,,,,,,,,,,
카카오페이,2020,,,,,,,,,,,,,,,,,
카카오페이,2021,,,,,,,,,,,,,,,,,
카카오페이,2022,,,,,,,,,,,,,,,,,
한국타이어앤테크놀로지,2017,6015970961141.0,1708367143607.0,4307603817534.0,3266619240730.0,162843264021.0,289437607240.0,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,4837.0,11.29
한국타이어앤테크놀로지,2018,6284507359403.0,1789935284342.0,4494572075061.0,3193229259746.0,155844689386.0,243935755810.0,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,4216.0,9.52
한국타이어앤테크놀로지,2019,6069618535095.0,1401550184749.0,4668068350346.0,3173056805801.0,97389539125.0,241217964610.0,-10.085108655904586,-209.59435757549008,-113.73305961191593,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,3387.0,9.91
